abacinat: vc; 'abacinate' 
discriminat: A vc;VI VPP troubleW 'discriminate' 
discusse: vc;VHOWSS VNPPP VWHSS VhisNG infoV vt 'discuss' 
disembodi: vc;separate vt 'disembody' 
disembodie: vc;separate vt 'disembody' 
disenabl: vc;enHidden 'disenable' 
disengag: vc;VNPPP separate 'disengage' 
disentangl: vc;VNPPP VPP separate 'disentangle' 
disestablishe: vc;enHidden 'disestablish' 
disfigur: vc;looksChg mkBad vt 'disfigure' 
disfranchis: vc;collect vt 'disfranchise' 
disgorg: vc;VPP give moveOut 'disgorge' 
disgruntl: vc;nEmo vt 'disgruntle' 
disguis: vc;VNPPPas abstract act count phy vt 'disguise' 
dishevell: vc;aggravateW mkAct 'dishevel' 
dishwashe: vc; 'dishwash' 
disinclin: vc;volition vt 'disincline' 
disintegrat: vc;chgConnect sequence statePhy suffer 'disintegrate' 
dislik: vc;VNPPP VTH VerbNom VhisNG count hate passion perV stateMental vVing vt weakPI 'dislike' 
dislocat: vc;ill mkBad vt 'dislocate' 
dislodg: vc;VNPPP enHidden expel 'dislodge' 
dismantl: vc;chgConnect enHidden lessC move 'dismantle' 
dismisse: vc;VNPPP VNPPPas chgInclude disagree enHidden remove 'dismiss' 
disoblig: vc;annoy vt 'disoblige' 
disorganiz: vc;attack mkBad vt 'disorganize' 
disorientat: vc;annoy noKnowledge vt 'disorientate' 
disparag: A vc;VNPPNGoc VNPPP VhisNG annoy chgProperty nAttitude vtPer 'disparage' 
dispatche: vc;VNPPP VerbNom chg count vt 'dispatch' 
dispens: vc;VPP VPhisNG give 'dispense' 
dispers: vc;VNPPP move send 'disperse' 
displac: vc;chgIsa chgLoc vt 'displace' 
displeas: vc;annoy passion vtPer weakPI 'displease' 
dispos: vc;VNPPP VNPTOoc VPP control give 'dispose' 
dispossesse: vc;VNPPP collect vt 'dispossess' 
disprov: vc;VTH attack vt 'disprove' 
disput: vc;VI VIrecip VPP VPPPP VTH VWHSS VerbNom attack count lessC vt 'dispute' 
disqualifi: vc;VNPPP VNPPhisNG VNPTOoc chgFit enHidden 'disqualify' 
disqualifie: vc;VNPPP VNPPhisNG VNPTOoc chgFit enHidden 'disqualify' 
disreput: nc vc;abstract troubleW 'disrepute' 
dissatisfi: vc;annoy passion vtPer weakPI 'dissatisfy' 
dissatisfie: vc;annoy passion vtPer weakPI 'dissatisfy' 
disse: vc;blame 'diss' 
dissembl: vc;VNPPP act mkNoKnowledge vt 'dissemble' 
disseminat: vc;VNPPP express vt 'disseminate' 
disserv: vc;mkBad 'disserve' 
dissimulat: vc;VNPPP mkNoKnowledge 'dissimulate' 
dissipat: vc;VI chgQuant send statePhy 'dissipate' 
dissociat: vc;VNPPP chgConnect connective 'dissociate' 
dissolv: vc;VI VNPPP VPP VPPPP abstract lessC vt 'dissolve' 
dissuad: vc;VNPPP causeNotDo vt 'dissuade' 
distinguishe: vc;VNPPP VNPPPas VPP tWord tryToKnow vt 'distinguish' 
distresse: vc;VerbNom attack feeling vt 'distress' 
distribut: vc;VI VNPPP VNPPPas VNPRB VPP control give move tWord vt 'distribute' 
disunit: vc;VIrecip chgConnect vt 'disunite' 
ditche: vc;artifact count remove 'ditch' 
div: vc;VI VPP VPPdir VerbNom count lessC 'dive' 
divaricat: vc;chgConnect looksChg 'divaricate' 
diverg: vc;VIrecip VPP chgFit move separate 'diverge' 
diversifi: vc;VPP chgAttr kind 'diversify' 
diversifie: vc;VPP chgAttr kind 'diversify' 
divid: vc;VI VIrecip VNPPP VPP VerbNom count vt 'divide' 
divin: A;VI abstract count per pt vt 'divine' 
divorc: vc;VIrecip VNPPP VerbNom perOrgV remove separate vtPer 'divorce' 
divulg: vc;VNPPP VPPTH enAppear vt 'divulge' 
divvi: vc;abstract count v 'divvy' 
divvie: vc;abstract count v 'divvy' 
dodg: vc;VNG abstract count doNot vt 'dodge' 
dogsledd: vc;tool v 'dogsled' 
dolli: vc;count 'dolly' 
dollie: vc;count 'dolly' 
domesticat: vc;mkOthersKnowledge vt 'domesticate' 
domesticis: vc;mkOthersKnowledge 'domesticise' 
domesticiz: vc;mkOthersKnowledge 'domesticize' 
dominat: vc;chg 'dominate' 
donat: vc;VNPPP pt vt 'donate' 
donn: vc;count vt 'don' 
doodl: vc;VI VPP 'doodle' 
dosse: vc;VI vi 'doss' 
dott: vc;VNPPP abstract count natural vt 'dot' 
doubl: A vc;RB VI VPP VPPas a abstract count vt 'double' 
douch: vc;count tool 'douche' 
dous: vc;VNPPP enHidden 'douse' 
dov: vc;animal component length past per tWord v 'dove' 
downgrad: vc;VNPPP VerbNom nt vt 'downgrade' 
downplai: vc;vt 'downplay' 
downplaie: vc;vt 'downplay' 
dows: vc;VI VPP abstract v 'dowse' 
doz: vc;VI cease count vi 'doze' 
dragg: vc;VI VNPPPdir VNPRB VPP count vt 'drag' 
drap: vc;VNPPP VPP VRB count prod tool 'drape' 
dredg: vc;VNPPP count tool vt 'dredge' 
drenche: vc;VNPPP moveIn vt 'drench' 
dresse: vc;Nom VI VNPPP VPP looks tool vt vtoV 'dress' 
dri: A vc;VI VNPPP chgMeasure con tWord vt 'dry' 
dribbl: vc;VNPPP VPP abstract component natural 'dribble' 
drie: A vc;VI VNPPP chgMeasure con tWord vt 'dry' 
dripp: vc;VI VPP abstract count v 'drip' 
driv: vc;Nom VI VNPAP VNPPNGoc VNPPPPP VNPPPdir VNPRB VNPTOoc VPP VPPPP VPPdir VRB component length tWord vt vtoV 'drive' 
drizzl: vc;VI natural v 'drizzle' 
dropp: vc;VI VNPPPdir VPP VPPPP VPPPPdir VPPdir VRB VerbNom VhisNG count dative negAdj phy statePhy vAP vt 'drop' 
drows: vc;VI count vi 'drowse' 
drubb: vc;mkBad vt 'drub' 
drudg: vc;count per 'drudge' 
drumm: vc;VI VNPPP artifact count vt 'drum' 
dubb: vc;VNPNP chg 'dub' 
dulcifi: vc;chgEmo 'dulcify' 
dulcifie: vc;chgEmo 'dulcify' 
dunn: vc;VNPPP VNPTOoc count vt 'dun' 
dup: vc;VNPPP count per vt 'dupe' 
duplicat: A vc;count vt 'duplicate' 
dwindl: vc;VI VPP VPPPP chgMeasure lessC 'dwindle' 
dyk: vc;artifact count vt 'dyke' 
dynamis: vc; 'dynamise' 
dynamit: vc;artifact vt 'dynamite' 
eas: vc;VI VNPPPPP VNPPPdir VPP correctW easiness pt vt 'ease' 
eavesdropp: vc;VI VPP sense vi 'eavesdrop' 
ebonis: vc; 'ebonise' 
eclips: vc;chg nt vt 'eclipse' 
economiz: vc;VPP chgQuant 'economize' 
eddi: vc;VI count natural v 'eddy' 
eddie: vc;VI count natural v 'eddy' 
edg: vc;VI VNPNP VNPPP VNPRB VPNGsc VPP VPPdir VRB component count prod0 tWord vt 'edge' 
edifi: vc;enGrow mkOthersKnowledge 'edify' 
edifie: vc;enGrow mkOthersKnowledge 'edify' 
editorialis: vc;produce 'editorialise' 
editorializ: vc;produce 'editorialize' 
educ: vc;CR VNPPP vt 'educe' 
educat: vc;VNPPP VNPPhisNG enGrow mkOthersKnowledge 'educate' 
effac: vc;enHidden 'efface' 
effectuat: vc;mkBetter vt 'effectuate' 
effloresc: vc;looksChg vt 'effloresce' 
effus: A vc;goOut vt 'effuse' 
ego-tripp: vc;hyphenated take 'ego-trip' 
egotripp: vc;VI VPNGsc VPP count vi 'egotrip' 
egresse: vc;statePhy vt 'egress' 
ejaculat: vc;VTH metabolize mkSound 'ejaculate' 
elaborat: A;VI VPP pt vt 'elaborate' 
elaps: vc;VI chgTime vi 'elapse' 
electrifi: vc;alive chgAttr promoteW vt 'electrify' 
electrifie: vc;alive chgAttr promoteW vt 'electrify' 
electrocut: vc;thing 'electrocute' 
electroplat: vc;count vt 'electroplate' 
elevat: vc;VI chgAttr moreC move vt 'elevate' 
eliminat: vc;VNPPP VNPPPas remove vt 'eliminate' 
elongat: vc;length 'elongate' 
elop: vc;VI VIrecip VPP leave 'elope' 
elucidat: vc;VNPPP VPP express 'elucidate' 
elud: vc;leave refuse vt 'elude' 
emanat: vc;VPP express statePhy vt 'emanate' 
emancipat: vc;VNPPP mkAct vt 'emancipate' 
emasculat: vc;enHidden 'emasculate' 
embarrasse: vc;VNPPNGoc VNPPP annoy causeNotDo pred vtPer 'embarrass' 
embedd: vc;VNPPP move vt 'embed' 
embellishe: vc;beautify chgGood 'embellish' 
embezzl: vc;VNPPP take vt 'embezzle' 
embodi: vc;VNPPP VNPPPas inclusive linkV vt 'embody' 
embodie: vc;VNPPP VNPPPas inclusive linkV vt 'embody' 
embrac: vc;VIrecip VNPPPas VerbNom count vacVO vt 'embrace' 
emce: vc;job v 'emcee' 
emerg: vc;VPP VPPas appear vAP vtoV 'emerge' 
emergencie: nc;abstract nt 'emergency' 
emigrat: vc;VI VPP VPPPP chgLoc vi 'emigrate' 
empanell: vc;enBe 'empanel' 
empathiz: vc;nAttitude 'empathize' 
emphasiz: vc;VHOWSS VNPPP VNPPPas VPPTH VSS VTH VhisNG express vacVO vt 'emphasize' 
emplac: vc;control vt 'emplace' 
empti: A;VI VNPPP VPP content count minusAmount situation vt 'empty' 
emptie: A;VI VNPPP VPP content count minusAmount situation vt 'empty' 
emulat: vc;VNPPP haveContest pt study vt 'emulate' 
emulsifi: vc;chgAttr 'emulsify' 
emulsifie: vc;chgAttr 'emulsify' 
enabl: vc;VNPTOoc VhisNG help mkAct vt 'enable' 
encapsulat: vc;chgQuant vt 'encapsulate' 
encas: vc;VNPPP cover enMove vt 'encase' 
encircl: vc;VNPPP coil from vt 'encircle' 
enclos: vc;VNPPP chgInclude coil vt 'enclose' 
encod: vc;VNPPP chgAttr express vt 'encode' 
encompasse: vc;VNPPP coil containV tWord vt 'encompass' 
encor: vc;abstract count vt 'encore' 
encourag: vc;VNPPNGoc VNPPP VNPTOoc VhisNG feeling help pEmo vtPer 'encourage' 
encroache: vc;VI VPP mkBad vi 'encroach' 
endors: vc;VNPPP VNPTOoc comfortW promoteW vt 'endorse' 
endu: vc;VNPPP chgPoss 'endue' 
endur: vc;VNG VNPNGoc VPPas goOn undergo vtoV 'endure' 
energiz: vc;alive chgState give promoteW 'energize' 
enervat: vc;attack chgProperty vt 'enervate' 
enfeebl: vc;chgProperty vt 'enfeeble' 
enforc: vc;chgGood vt 'enforce' 
enfranchis: vc;mkAct vt 'enfranchise' 
engag: vc;VIrecip VNPPP VNPPPas VNPTOoc VPNGsc VPP act haveContest tWord tie vtoV 'engage' 
englutt: vc;moveDown 'englut' 
engrav: vc;VNPPP express haveKnowledge 'engrave' 
engrosse: vc;behavior vt 'engross' 
enhanc: vc;VNPPP VhisNG chgGood chgQuant pt vacVO vt 'enhance' 
enkindl: vc;VI vt warmUp 'enkindle' 
enlac: vc; 'enlace' 
enlarg: vc;VI VPP chgMeasure moreC vt 'enlarge' 
enounc: vc;express 'enounce' 
enquir: vc;VNPPP VPP VPPPP VPPhowTO VPhisNG tryToKnow 'enquire' 
enrag: vc;annoy passion vtPer 'enrage' 
enraptur: vc;vt 'enrapture' 
enriche: vc;VNPPP improve vt 'enrich' 
enrob: vc; 'enrobe' 
ensconc: vc;VNPPP control vt 'ensconce' 
enshrin: vc;VNPPP vt 'enshrine' 
enslav: vc;VNPPP chgAttr mkBad vt 'enslave' 
ensnar: vc;VNPPP vt 'ensnare' 
ensu: vc;VI appear vi 'ensue' 
ensur: vc;VNPPPfor VSS VTH VhisNG mkAct pEmo tWord vacVO vt 'ensure' 
entangl: vc;VNPPP chg vt 'entangle' 
entic: vc;VNPPNGoc VNPPP VNPTOoc enDo vt 'entice' 
entitie: nc;vacFor 'entity' 
entitl: vc;VNPNP VNPPP VNPTOoc VRB enDo vt 'entitle' 
entrapp: vc;VNPPNGoc VNPPP mkMisunderstand take vt 'entrap' 
entrie: nc;VerbNom component 'entry' 
entwin: vc;VNPPP enMove vt 'entwine' 
enumerat: vc;calculate express vt 'enumerate' 
enunciat: vc;VNPPPas VRB mkSound vt 'enunciate' 
envi: vc;VNPNP VerbNom mental stateMental vt 'envy' 
envie: vc;VNPNP VerbNom mental stateMental vt 'envy' 
envisag: vc;VNPNG VNPPPas VNPTObe VSS deduce emo vt 'envisage' 
enwrapp: vc;VNPPP cover vt 'enwrap' 
epitomis: vc;chgAttr express 'epitomise' 
epitomiz: vc;chgAttr express vt 'epitomize' 
equalis: vc;chgCompare vt 'equalise' 
equaliz: vc;chgCompare vt 'equalize' 
equat: vc;VNPPP beSame chgCompare 'equate' 
equilibrat: vc;beSame 'equilibrate' 
equilibris: vc; 'equilibrise' 
equipp: vc;VNPPNGoc VNPPP VNPTOoc give pt vt 'equip' 
equivocat: vc;mkSound vt 'equivocate' 
eradicat: vc;VhisNG remove vt 'eradicate' 
erod: vc;VI lessC mkBad vt 'erode' 
escalad: vc;move 'escalade' 
escalat: vc;chgGrade 'escalate' 
escap: vc;VI VPP VPPPP VerbNom remove vVing vt 'escape' 
espi: vc;VNPNGoc haveKnowledge vt 'espy' 
espie: vc;VNPNGoc haveKnowledge vt 'espy' 
espous: vc;VhisNG pEmo perOrgV vacVO vt 'espouse' 
establishe: vc;VNPPNGoc VNPPP VNPPPas VNPRB VNPTObe VNPTOoc VPPhowTO VSS VTH VWHSS create tWord vt 'establish' 
esterifi: vc;chgAttr 'esterify' 
esterifie: vc;chgAttr 'esterify' 
estimat: vc;VNPPP VNPPPas VNPTObe VPP VSS VTH VWHSS VerbNom count vt 'estimate' 
estivat: vc;rest vt 'estivate' 
estopp: vc;causeNotDo 'estop' 
estrang: vc;VNPPP chgConnect timeOrSpace vt 'estrange' 
etche: vc;VNPPP express mkBad 'etch' 
eternalis: vc; 'eternalise' 
eternis: vc; 'eternise' 
etherealiz: vc;chgAttr 'etherealize' 
etherialis: vc; 'etherialise' 
etherifi: vc;chgAttr 'etherify' 
etherifie: vc;chgAttr 'etherify' 
etheris: vc;mkAct 'etherise' 
etheriz: vc;mkAct 'etherize' 
etiolat: vc;attack vt 'etiolate' 
eulogis: vc;pEmo 'eulogise' 
eulogiz: vc;VNPPPas VPP pEmo 'eulogize' 
europeanis: vc;vt 'europeanise' 
evacuat: vc;VNPPP VPP VPPPP move 'evacuate' 
evad: vc;leave refuse vt 'evade' 
evaluat: vc;VHOWSS VNPPNGoc VNPPP VNPPPas VWHSS VhisNG mkOwnKnowledge tWord vt 'evaluate' 
evangelis: vc; 'evangelise' 
evaporat: vc;VNPPP VPP move statePhy 'evaporate' 
evinc: vc;show vt 'evince' 
eviscerat: vc;chgForm vt 'eviscerate' 
evok: vc;CR VNPPP chgEmo vt 'evoke' 
evolv: vc;VI VNPPP VPP VPPPP appear beNormal promoteW succeed vt 'evolve' 
exacerbat: vc;mkAct troubleW vt worsen 'exacerbate' 
exaggerat: vc;VNPPP VPNGsc VPP VPPNG express 'exaggerate' 
examin: vc;VHOWSS VNPNGoc VNPPP VWHSS ask check infoV perOrgV vt 'examine' 
exasperat: vc;aggravateW vtPer 'exasperate' 
excavat: vc;chgForm take vt 'excavate' 
exchang: vc;VNPPP VPP VerbNom group vt 'exchange' 
excid: vc;chgForm 'excide' 
excis: vc;VNPPP abstract artifact remove vt 'excise' 
excit: vc;VNPPP emph happy passion promoteW vtPer 'excite' 
exclud: vc;VNPPNGoc VNPPP chgInclude inclusive send vt 'exclude' 
excommunicat: ;vt 'excommunicate' 
excoriat: vc;annoy mkOwnKnowledge vt 'excoriate' 
excret: vc;VNPPP metabolize vt 'excrete' 
exculpat: vc;VNPPP chgIsa vt 'exculpate' 
excus: vc;VNPPNGoc VerbNom count nt stateMental thinking vVing vt 'excuse' 
execrat: vc;VNPPPas nAttitude nt vt 'execrate' 
execut: vc;VNPPP VNPPPas VNPRB act vt 'execute' 
exemplifi: vc;VTH express vt 'exemplify' 
exemplifie: vc;VTH express vt 'exemplify' 
exercis: vc;VNPPP VerbNom 'exercise' 
exfoliat: vc;enAppear vt 'exfoliate' 
exhal: vc;VNPPP VPP moveOut 'exhale' 
exhilarat: vc;chgEmo vt 'exhilarate' 
exhum: vc;chgForm vt 'exhume' 
exil: vc;VNPPP VerbNom count per vt 'exile' 
exonerat: vc;VNPPNGoc VNPPP chgGood vt 'exonerate' 
exorcis: vc;VI VNPPP VPP enHidden 'exorcise' 
expatiat: vc;VPP express vt 'expatiate' 
expectorat: vc;moveOut 'expectorate' 
expedit: vc;chgMeasure vt 'expedite' 
experienc: vc;Key VNG VNPPPas VTH VWHSS VerbNom tWord vacOf vt 'experience' 
expiat: vc;resume vt 'expiate' 
expir: vc;end 'expire' 
explicat: vc;VNPPP VPPTH VTH VhisNG express vt 'explicate' 
explod: vc;VPP chgForm enAppear looksChg 'explode' 
explor: vc;VHOWSS VI VNG VPP VPPhowTO VWHSS infoV tWord vt 'explore' 
expositt: vc;express vt 'exposit' 
expostulat: vc;VI VPP VPPNG VPPPP VPhisNG enDo 'expostulate' 
expresse: A;APP VNPPP VWHSS abstract artifact count tWord vt 'express' 
expropriat: vc;VNPPP collect vt 'expropriate' 
expung: vc;VNPPP enHidden 'expunge' 
expurgat: vc;enHidden 'expurgate' 
extemporis: vc;mkSound vt 'extemporise' 
extemporiz: vc;mkSound 'extemporize' 
extenuat: vc;mkNoKnowledge vt 'extenuate' 
exterioris: vc;chgAttr vt 'exteriorise' 
exterioriz: vc;chgAttr vt 'exteriorize' 
exterminat: vc;remove vt 'exterminate' 
externalis: vc;chgAttr vt 'externalise' 
externaliz: vc;chgAttr vt 'externalize' 
extinguishe: vc;remove statePhy vt 'extinguish' 
extirpat: vc;moveOut remove vt 'extirpate' 
extradit: vc;VNPPP ceaseMove vt 'extradite' 
extrapolat: vc;VNPPP think vt 'extrapolate' 
extricat: vc;VNPPP enMove vt 'extricate' 
extrud: vc;VNPPP moveOut send vt 'extrude' 
exuberat: vc;chgPhy vt 'exuberate' 
exud: vc;VNPPP VPP moveOut vt 'exude' 
exudat: vc;moveOut vt 'exudate' 
exuviat: vc;ownNot 'exuviate' 
fabricat: vc;create vt 'fabricate' 
fac: vc;VI VNG VNPPP VPP VTH component looks reputation vt 'face' 
facilitat: vc;VhisNG chgGood promoteW vt 'facilitate' 
fagg: vc;VPP artifact count per vt 'fag' 
fak: A;VNG troubleW vt 'fake' 
falsifi: vc;chg create mkMisunderstand vt 'falsify' 
falsifie: vc;chg create mkMisunderstand vt 'falsify' 
familiariz: vc;VNPPP haveKnowledge vt 'familiarize' 
familie: nc;group per quant 'family' 
famishe: vc;VPP beBad undergo vt 'famish' 
fanci: A;VPP VSS coolC love vVing vt 'fancy' 
fancie: A;VPP VSS coolC love vVing vt 'fancy' 
fann: vc;VNPPP count emph passion 'fan' 
fascinat: vc;improve 'fascinate' 
faxe: vc;VerbNom count dative vt 'fax' 
faz: vc;mkBad 'faze' 
featherbedd: vc;VPP count 'featherbed' 
fecundat: vc;send vt 'fecundate' 
federalis: vc;associate vt 'federalise' 
federaliz: vc;associate vt 'federalize' 
federat: vc;VPP VPPas associate 'federate' 
felicitat: vc;VNPPNG VNPPNGoc VNPPP pEmo vt 'felicitate' 
fellat: vc;associate vt 'fellate' 
felonie: nc;count 'felony' 
feminis: vc;vt 'feminise' 
ferri: vc;VNPPP VPP count tool 'ferry' 
ferrie: vc;VNPPP VPP count tool 'ferry' 
fertilis: vc;send vt 'fertilise' 
fertiliz: vc;VNPPP metabolize send 'fertilize' 
fetche: vc;VNPPPfor abstract chgPoss 'fetch' 
fibb: vc;VI VPP abstract count vi 'fib' 
fictionalis: vc;produce vt 'fictionalise' 
fictionaliz: vc;produce vt 'fictionalize' 
fiddl: vc;VI VPP count vt 'fiddle' 
figur: vc;VHOWSS VNPPP VPP VPPNG VPhisNG VTH VWHSS VerbNom abstract count infosourceN looks vt vtoV 'figure' 
fil: vc;VNPAP VNPPP VPP count tool vt 'file' 
filche: vc;VNPPP take vt 'filch' 
filtrat: vc;VNPPP VPP artifact 'filtrate' 
finalis: vc;mkOwnKnowledge vt 'finalise' 
finaliz: vc;mkOwnKnowledge vt 'finalize' 
financ: vc;VNPPP VerbNom useC vt 'finance' 
fine-tun: vc;hyphenated mkBetter 'fine-tune' 
finishe: vc;VI VNG VNPPP VNPPPas VPP VPPas VerbNom act component statePhy vAP vVing vt 'finish' 
fishe: vc;VPP VRB animal artifact sgPlu 'fish' 
fissur: vc;component count v 'fissure' 
fitt: A vc;APP ATO VI VNPPP VPP VRB VerbNom count pt stateMental vt vtoV 'fit' 
fixat: vc;VNPPP VPNGsc VPP sense vt 'fixate' 
fixe: vc;VI VNPPPfor VNPRB VPP VerbNom correctW count improve vt 'fix' 
fizzl: vc;VI VPP abstract tWord vi 'fizzle' 
flagellat: vc;VI vt 'flagellate' 
flai: vc;VNPPP vt 'flay' 
flaie: vc;VNPPP vt 'flay' 
flamm: nc;thinking v 'flam' 
flang: vc;count prod v 'flange' 
flapp: vc;VPP VerbNom component count vt 'flap' 
flar: vc;VI VPP natural prod vt 'flare' 
flash-freez: vc;chgMeasure hyphenated 'flash-freeze' 
flashe: vc;VI VNPPP VPPdir time vt 'flash' 
fle: vc;VNPPP VPP VPPPP VPPdir leave 'flee' 
fledg: vc;appear 'fledge' 
fleshe: vc;bodyPart component v 'flesh' 
flexe: A nc vc;abstract 'flex' 
fli: vc;VI VNPPPPP VNPPPdir VNPRB VPP VPPPPdir VPPdir VRB animal useC vt 'fly' 
flie: vc;VI VNPPPPP VNPPPdir VNPRB VPP VPPPPdir VPPdir VRB animal useC vt 'fly' 
flinche: vc;VPNGsc VPP move 'flinch' 
flip-flopp: A vc;hyphenated 'flip-flop' 
flipp: A nc vc;AitPPforTO VNPPP VPP count vt 'flip' 
flitt: vc;VI abstract count move vi 'flit' 
flogg: vc;chgForm vt 'flog' 
flopp: vc;VI count natural v 'flop' 
flosse: vc;tWord 'floss' 
flounc: vc;VI count v 'flounce' 
flourishe: vc;VI abstract count v 'flourish' 
flubb: vc;v 'flub' 
fluctuat: vc;VI VPNGsc VPP chg volition 'fluctuate' 
flummoxe: nc vc;annoy 'flummox' 
fluoridat: vc;chgAttr vt 'fluoridate' 
fluoridis: vc;chgAttr vt 'fluoridise' 
fluoridiz: vc;chgAttr vt 'fluoridize' 
flushe: A vc;APP RB VNPPP abstract color count time vt 'flush' 
fly-fishe: vc;VI VPP hyphenated vi 'fly-fish' 
fobb: vc;component 'fob' 
focalis: vc;vt 'focalise' 
focuse: vc;VI VNPPP VPNGsc VPP VPPNG VerbNom component count onV pt space vt 'focus' 
fogg: vc;natural vt weather 'fog' 
foliat: A;a enBe 'foliate' 
fondl: vc;chgForm vt 'fondle' 
footslogg: vc;VI move vi 'footslog' 
forbidd: vc;VNPPNG VNPTOoc causeNotDo remove vt 'forbid' 
forc: vc;Nom VNPAP VNPPNGoc VNPPP VNPTOoc abstract group strength vt vtoV 'force' 
forebod: vc;beC vt 'forebode' 
foreclos: vc;VPP aggravateW causeNotDo perOrgV 'foreclose' 
forese: vc;VNPAP VNPEN VNPNGoc VNPPPas VTH deduce vt 'foresee' 
forg: vc;VPP VRB count vt 'forge' 
forgett: vc;VHOWSS VI VNG VNPNGoc VPP VPhisNG VSS VWHSS noKnowledge perV vt vtoV 'forget' 
forgiv: vc;VNPPNGoc VNPPP nAttitude perV vVing vtPer 'forgive' 
formalis: vc;chgAttr vt 'formalise' 
formaliz: vc;chgAttr vt 'formalize' 
formulariz: vc;chgAttr 'formularize' 
formulat: vc;chgProperty express mkAct tWord vt 'formulate' 
fornicat: vc;VI VPP vi 'fornicate' 
forsak: vc;VNG VNPPP give vt 'forsake' 
fortifi: vc;chgProperty haveContest promoteW vt 'fortify' 
fortifie: vc;chgProperty haveContest promoteW vt 'fortify' 
fossilis: vc;behavior vt 'fossilise' 
fossiliz: vc;behavior 'fossilize' 
fractur: vc;VI phenomena space vt 'fracture' 
fragmentis: vc;chgConnect 'fragmentise' 
fragmentiz: vc;chgConnect 'fragmentize' 
fram: vc;component count quant vt 'frame' 
franchis: vc;VerbNom com count 'franchise' 
frapp: vc;cover 'frap' 
frazzl: vc;abstract count v 'frazzle' 
fre: A;APP ATO AitPPforTOomit RB VNPPNGoc VNPPP VNPTOoc price pro situation up vt 'free' 
freckl: vc;VNPPP count nt 'freckle' 
freez: vc;VI VNPAP VNPPP VPP VRB VerbNom count vt 'freeze' 
freeze-dri: vc;hyphenated ill 'freeze-dry' 
freeze-drie: vc;hyphenated ill 'freeze-dry' 
frenchifi: vc;chgAttr 'frenchify' 
frenchifie: vc;chgAttr 'frenchify' 
frett: vc;VI VPP VTH annoy vt 'fret' 
frie: vc;VNPPP VPP animal count 'fry' 
frigg: vc;associate 'frig' 
frizzl: vc;vt 'frizzle' 
frolick: vc;VIrecip VPP abstract v 'frolic' 
fructifi: vc;create succeed 'fructify' 
fructifie: vc;create succeed 'fructify' 
frustrat: vc;annoy causeNotDo passion vtPer weakPI 'frustrate' 
fuddl: vc;annoy passion vt 'fuddle' 
fudg: vc;v 'fudge' 
fulminat: vc;artifact 'fulminate' 
fum: vc;VPP VTH count natural 'fume' 
fumbl: vc;VPP VPPPP VPPdir abstract 'fumble' 
fumigat: vc;chgAttr vt 'fumigate' 
fund-rais: vc;hyphenated take 'fund-raise' 
fundrais: vc;take 'fundraise' 
funnell: vc;VNPPP VPP component count tool 'funnel' 
furcat: vc;vt 'furcate' 
furnishe: vc;VNPPPfor VNPRB dative give vt 'furnish' 
fus: vc;VIrecip VPP component count prod tool 'fuse' 
fusse: vc;VI VPNGsc VPP VPPNG abstract count nt stateMental vi 'fuss' 
gadd: vc;VI VRB abstract component nt vi 'gad' 
gagg: vc;VNPPP VPP count 'gag' 
gallerie: nc;artifact component count 'gallery' 
galvanis: vc;promoteW vt 'galvanise' 
galvaniz: vc;chgEmo chgLooks promoteW vt 'galvanize' 
gambl: vc;VPP VTH VerbNom count 'gamble' 
gamboll: vc;VI abstract count vi 'gambol' 
gamm: vc;abstract v 'gam' 
gang-rap: vc;enDo hyphenated 'gang-rape' 
gaoll: vc;count group v 'gaol' 
garbl: vc;chg vt 'garble' 
gargl: vc;VI VPP cleanse useC 'gargle' 
garnishe: vc;VNPPP beautify vt 'garnish' 
garott: vc;count vt 'garotte' 
garrot: ;v 'garrote' 
garrott: vc;count vt 'garrotte' 
gasconad: vc;abstract v 'gasconade' 
gase: vc;VI VNPPhisNG solution vt 'gas' 
gasifi: vc;chgAttr 'gasify' 
gasifie: vc;chgAttr 'gasify' 
gate-crashe: vc;hyphenated take 'gate-crash' 
gatecrashe: vc;VI vt 'gatecrash' 
gaug: vc;VHOWSS VNPPP VWHSS count length tool vt 'gauge' 
gaz: vc;VI VPP abstract count vi 'gaze' 
gazett: vc;VTH artifact count vt 'gazette' 
gelatinis: vc; 'gelatinise' 
geminat: A;quant vt 'geminate' 
generalis: vc;chgAttr vt 'generalise' 
generaliz: vc;VNPPP VPP VPPPP chgAttr express 'generalize' 
generat: vc;appear causeV create vt 'generate' 
germinat: vc;VI VPP create moreC vt 'germinate' 
gestat: vc;beNormal vt 'gestate' 
gesticulat: vc;VI mkOthersKnowledge 'gesticulate' 
gett: vc;VNG VNPAP VNPEN VNPNGoc VNPPPas VNPPPdir VNPPPfor VNPRB VNPTOoc VPPdir VRB linkV vAP vacVO vt vtoV xC 'get' 
ghostwrit: vc;express 'ghostwrite' 
gibb: vc;animal v 'gib' 
giggl: vc;VI VTH count 'giggle' 
gitt: vc;per v 'git' 
giv: vc;VNPPPas VPP abstract dative pt vacVO 'give' 
glaciat: vc;looksChg vt 'glaciate' 
glamoris: vc;vt 'glamorise' 
glamoriz: vc;radiant vt 'glamorize' 
glamouris: vc;vt 'glamourise' 
glanc: vc;VI VPP VPPPP VerbNom count mental 'glance' 
glar: vc;VI VPP VerbNom v 'glare' 
glaz: vc;artifact natural 'glaze' 
