20-20_technologies::: NNP NE;nc com nc 
louisiana_technical_college_-bastrop_campus::: ;NN nc org 
louisiana_technical_college_-baton_rouge_campus::: ;NN nc org 
louisiana_technical_college_-charles_b._coreil_campus::: ;NN nc org 
louisiana_technical_college_-delta-ouachita_campus::: ;NN nc org 
louisiana_technical_college_-evangeline_campus::: ;NN nc org 
louisiana_technical_college_-florida_parishes_campus::: ;NN nc org 
louisiana_technical_college_-folkes_campus::: ;NN nc org 
louisiana_technical_college_-gulf_area_campus::: ;NN nc org 
louisiana_technical_college_-hammond_area_campus::: ;NN nc org 
louisiana_technical_college_-huey_p._long_campus::: ;NN nc org 
louisiana_technical_college_-jefferson_campus::: ;NN nc org 
louisiana_technical_college_-jumonville_campus::: ;NN nc org 
louisiana_technical_college_-lafayette_campus::: ;NN nc org 
louisiana_technical_college_-lafourche_campus::: ;NN nc org 
louisiana_technical_college_-lamar_salter_campus::: ;NN nc org 
louisiana_technical_college_-mansfield_campus::: ;NN nc org 
louisiana_technical_college_-morgan_smith_campus::: ;NN nc org 
louisiana_technical_college_-natchitoches_campus::: ;NN nc org 
louisiana_technical_college_-north_central_campus::: ;NN nc org 
louisiana_technical_college_-northeast_campus::: ;NN nc org 
louisiana_technical_college_-northwest_campus::: ;NN nc org 
louisiana_technical_college_-oakdale_campus::: ;NN nc org 
louisiana_technical_college_-river_parishes_campus::: ;NN nc org 
louisiana_technical_college_-ruston_campus::: ;NN nc org 
louisiana_technical_college_-sabine_valley_campus::: ;NN nc org 
louisiana_technical_college_-shelby_m._jackson_campus::: ;NN nc org 
louisiana_technical_college_-shreveport-bossier_campus::: ;NN nc org 
louisiana_technical_college_-sidney_n._collier_campus::: ;NN nc org 
louisiana_technical_college_-slidell_campus::: ;NN nc org 
louisiana_technical_college_-sullivan_campus::: ;NN nc org 
louisiana_technical_college_-t.h._harris_campus::: ;NN nc org 
louisiana_technical_college_-tallulah_campus::: ;NN nc org 
louisiana_technical_college_-teche_area_campus::: ;NN nc org 
louisiana_technical_college_-west_jefferson_campus::: ;NN nc org 
louisiana_technical_college_-westside_campus::: ;NN nc org 
louisiana_technical_college_-young_memorial::: ;NN nc org 
louisiana_technical_university::: ;NN nc org 
lounge_away::: VB vc;vt 
low_birth-weight_baby::: N nc;per 
low_birth-weight_infant::: N nc;per 
low_blood_pressure::: N nc;nt 
low_bone_density::: N nc;nt 
low_calory_diet::: N nc;treatment 
low_drug_dose::: N nc;treatment 
low_end_torque::: N nc;pt 
low_fat_diet::: N nc;treatment 
low_level_laser_therapy::: N nc;treatment 
low_oil_price::: N nc;Key 
low_pass_filter::: N nc;tool 
low_water_mark::: N nc; 
lower_bone_density::: N nc;nt 
lower_bone_mass::: N nc;nt 
lower_bone_mass_and_bone_density::: N nc;nt 
lower_oil_price::: N nc;Key 
lower_respiratory_tract::: NN nc;bodyPart 
lowest_oil_price::: N nc;Key 
loyola_college::: ;NN nc org 
loyola_marymount_university::: ;NN nc org 
loyola_university::: ;NN nc org 
loyola_university_new_orleans::: ;NN nc org 
lpkf_laser_&_electronics::: NNP NE;nc com nc 
lsi_graphic_solutions_plus::: NNP NE;nc com nc 
lucky_surf::: NNP NE;nc com nc 
lug_about::: VB vc;vt 
lug_along::: VB vc;vt 
lug_around::: VB vc;vt 
lug_away::: VB vc;vt 
lug_back::: VB vc;VNPPPdir vt 
lug_out::: VB vc;VNPPPdir vt 
luminous_flux_unit::: NN nc unit;quant 
luminous_intensity_unit::: NN nc unit;quant 
lump_together::: VB vc;vt 
luna_chemicals::: NNP NE;nc com nc 
lunar_excursion_module::: NN nc;tool 
lunarworks_holding::: NNP NE;nc com nc 
lung_artery_banding::: N nc;treatment 
lunge_out::: VB vc;VI VPP VPPdir 
luolai_chemical_fibers::: NNP NE;nc com nc 
lurch_off::: VB vc;VPPdir 
lurch_on::: VB vc;VPPdir 
lure_on::: VB vc;vt 
lux_biotechnology::: NNP NE;nc com nc 
luxell_technologies::: NNP NE;nc com nc 
lvmh_moet_hennessy::: NNP NE;nc com nc 
lymph_node_dissection::: N nc;treatment 
lymph_node_irradiation::: N nc;treatment 
lymphotoxin_beta_receptor::: N nc;nt 
lyndon_state_college::: ;NN nc org 
lyondell_chemical::: NNP NE;nc com nc 
lysine_vasopressin_test::: N nc;treatment 
m.c._insurance::: NNP NE;nc com nc 
m.g._chemicals::: NNP NE;nc com nc 
m_factor::: NNP NE;nc com nc 
macalester_college::: ;NN nc org 
macarthur_state_technical_college::: ;NN nc org 
macquarie_bank::: NNP NE;nc com nc 
maddest_mother_fucker::: N nc;coolC 
madison_area_technical_college::: ;NN nc org 
maeda_industrial_chemicals::: NNP NE;nc com nc 
magforce_nanotechnologies::: NNP NE;nc com nc 
magnetomotive_force_unit::: NN nc unit; 
magrabar_chemical::: NNP NE;nc com nc 
maharashtra_phytochemicals::: NNP NE;nc com nc 
maharishi_university_of_management::: ;NN nc org 
maid_of_honor::: NN nc;per 
maidenform_brands::: NNP NE;nc com nc 
mail_out::: VB vc;vt 
maintenance_drug_dose::: N nc;treatment 
major_league_team::: N nc;orgHN 
make_a_move::: N nc;prod0 
make_off::: VB vc;VPP 
make_out::: VB vc;VPP vt 
make_over::: VB vc;vt 
make_sure::: VB vc;VSS 
make_the_grade::: VB vc;pt 
make_up::: VB vc;VI VNPPP VPP vt 
make_use_of::: VB vc;VNPTOoc VNPTOsc mkAct pt vacVO vtt 
male_genital_system_surgery::: N nc;treatment 
male_sterilization_reversal::: N nc;treatment 
malignancy_or_benignancy::: N nc;abstract 
malignant_mesothelioma_cellular_diagnosis::: N nc;treatment 
man_in_the_street::: N nc;per 
man_of_action::: N nc;per 
man_of_affairs::: N nc;per 
man_of_deeds::: N nc;per 
man_of_letters::: N nc;per 
man_of_means::: N nc;per 
man_of_science::: N nc;per 
mangalore_refinery_&_petrochemicals::: NNP NE;nc com nc 
mania_technologie::: NNP NE;nc com nc 
mantechnologies_international::: NNP NE;nc com nc 
mantle_field_radiotherapy::: N nc;treatment 
many_kinds_of::: N nc;vtt 
many_of_such::: DT;pureDT 
map_out::: VB vc;vt 
maranatha!_music::: NNP NE;nc com nc 
march_away::: VB vc;vt 
march_off::: VB vc;vt 
marco_polo::: NNP;NN com nc 
marconi_electronic_systems::: NNP NE;nc com nc 
marian_college::: ;NN nc org 
marine_corps_intelligence_activity::: ;NN nc org 
marion_technical_college::: ;NN nc org 
mark_down::: VB vc;VNPPP VNPPPas VTH vt 
mark_off::: VB vc;vt 
mark_out::: VB vc;vt 
mark_up::: VB vc;vt 
marketing_manager-network_integration::: N nc;job 
marketing_risk_management::: N nc; 
marks_&_spencer::: NNP NE;nc com nc 
martin_electronics::: NNP NE;nc com nc 
martin_luther_king_day::: NNP nc;timeUnit 
marunouchi_heat_supply::: NNP NE;nc com nc 
marvell_technology_group::: NNP NE;nc com nc 
marycrest_international_university::: ;NN nc org 
maryland_bible_college_and_seminary::: ;NN nc org 
maryland_biochemical::: NNP NE;nc com nc 
maryland_institute_-college_of_art::: ;NN nc org 
marymount_college::: ;NN nc org 
marymount_manhattan_college::: ;NN nc org 
mass_together::: VB vc;VPP vt 
massachusetts_institute_of_technology::: ;NN nc org 
mastertronic_added_dimension::: NNP NE;nc com nc 
match_up::: VB vc;VNPPP 
materialise_nv::: NNP NE;nc com nc 
materials_processing_technology::: NNP NE;nc com nc 
matron_of_honor::: N nc;per 
matsushita_electronic_components::: NNP NE;nc com nc 
matter_of_fact::: A NN nc;abstract 
mattson_technology::: NNP NE;nc com nc 
maxim_chemical::: NNP NE;nc com nc 
maxwell_technologies::: NNP NE;nc com nc 
mayville_state_university::: ;NN nc org 
mazda_motor::: NNP NE;nc com nc 
mcdowell_tech_community_college::: ;NN nc org 
mcneese_state_university::: ;NN nc org 
mcs_modulare_computer_software_systeme::: NNP NE;nc com nc 
meadville_lombard_theological_school::: ;NN nc org 
means_and_measure::: NN nc unit; 
mechanical_technology::: NNP NE;nc com nc 
medal_of_honor::: NNP nc;prod0 
medcam_technology::: NNP NE;nc com nc 
medco_health_solutions::: NNP NE;nc com nc 
media_delivery_specialist::: N nc;job 
mediagrif_interactive_technologies::: NNP NE;nc com nc 
medial_collateral_ligament::: NN nc;bodyPart 
medic_electronica::: NNP NE;nc com nc 
medical_device_safety_service::: NNP NE;nc com nc 
medical_equipment_technology::: NNP NE;nc com nc 
medicare_payment_advisory_commission::: ;NN nc org 
medis_technologies::: NNP NE;nc com nc 
medo_chemical_products::: NNP NE;nc com nc 
megatech_software::: NNP NE;nc com nc 
meggitt_electronic_components::: NNP NE;nc com nc 
meharry_medical_college::: ;NN nc org 
meiji_yasuda::: NNP NE;nc com nc 
meiko_electronics::: NNP NE;nc com nc 
meilhaus_electronic::: NNP NE;nc com nc 
meiryo_technica::: NNP NE;nc com nc 
melanoma_cellular_diagnosis::: N nc;treatment 
melbourne_house::: NNP NE;nc com nc 
melbourne_university_publishing::: NNP NE;nc com nc 
melrose_chemicals::: NNP NE;nc com nc 
member_of_parliament::: NNP nc;job 
memphis_consulting::: NNP NE;nc com nc 
men's_wearhouse::: NNP NE;nc com nc 
mendel_biotechnology::: NNP NE;nc com nc 
merck_farma_y_quimica::: NNP NE;nc com nc 
mercury_computer_systems::: NNP NE;nc com nc 
mercury_vapor_lamp::: N nc;prod 
mercy_college_-bronx::: ;NN nc org 
mercy_college_-dobbs_ferry::: ;NN nc org 
mercy_college_-manhattan::: ;NN nc org 
mercy_college_-white_plains::: ;NN nc org 
mercy_college_-yorktown_heights::: ;NN nc org 
mercy_college_of_northwest_ohio::: ;NN nc org 
merge_technologies::: NNP NE;nc com nc 
merge_together::: VB vc;vt 
merit_systems_protection_board::: ;NN nc org 
merry_electronics::: NNP NE;nc com nc 
mesa_state_college::: ;NN nc org 
metal_one::: NNP NE;nc com nc 
metalfrio_solutions::: NNP NE;nc com nc 
metasolv_software::: NNP NE;nc com nc 
mete_out::: VB vc;vt 
meteorological_observation_post::: N nc; 
methode_electronics::: NNP NE;nc com nc 
metrazol_shock_therapy::: N nc;treatment 
metretek_technologies::: NNP NE;nc com nc 
metric_capacity_unit::: N nc unit; 
metric_linear_unit::: N nc unit; 
metric_weight_unit::: N nc unit; 
metropcs_communications::: NNP NE;nc com nc 
metropolitan_state_college_of_denver::: ;NN nc org 
metropolitan_state_university::: ;NN nc org 
mevis_medical_solutions::: NNP NE;nc com nc 
meyer_burger_technology::: NNP NE;nc com nc 
mfs_technology::: NNP NE;nc com nc 
michigan_state_university::: ;NN nc org 
michigan_technological_university::: ;NN nc org 
micro_electronics::: NNP NE;nc com nc 
micro_instrumentation_and_telemetry_systems::: NNP NE;nc com nc 
microchip_technology::: NNP NE;nc com nc 
micron_technology::: NNP NE;nc com nc 
microsurgical_epididymal_sperm_aspiration::: N nc;treatment 
microwave_diathermy_machine::: N nc;tool 
microwave_linear_accelerator::: N nc;tool 
microwave_solutions::: NNP NE;nc com nc 
mid-america_bible_college::: ;NN nc org 
mid-state_technical_college::: ;NN nc org 
midamerica_nazarene_university::: ;NN nc org 
middle_ear_reconstruction::: N nc;treatment 
middle_ear_surgery::: N nc;treatment 
middle_ear_ventilation::: N nc;treatment 
middle_tennessee_state_university::: ;NN nc org 
midland_lutheran_college::: ;NN nc org 
midlands_technical_college::: ;NN nc org 
miles_per_gallon::: N nc unit; 
military_intelligence_agency::: N nc;orgHN 
military_intelligence_section_5::: ;org 
military_intelligence_section_6::: ;org 
military_master_planner::: N nc;job 
milk_fat_percentage::: N nc unit; 
millennium_chemicals::: NNP NE;nc com nc 
millennium_technology::: NNP NE;nc com nc 
millimeter_of_mercury::: N nc unit; 
milos_hamburgers::: NNP NE;nc com nc 
milwaukee_area_technical_college::: ;NN nc org 
mind_altering_drug::: N nc;prod 
mindready_solutions::: NNP NE;nc com nc 
mindspeed_technologies::: NNP NE;nc com nc 
minimal_brain_damage::: N nc;nt 
minnesota_state_university::: ;NN nc org 
minor_league_club::: N nc;orgHN 
minor_league_team::: N nc;orgHN 
minot_state_university::: ;NN nc org 
minute_of_arc::: N nc unit; 
mips_technologies::: NNP NE;nc com nc 
miranda_technologies::: NNP NE;nc com nc 
miss_out::: VB vc;VPP 
missile_defence_system::: N nc;tool 
missile_defense_system::: N nc;tool 
mississippi_chemical::: NNP NE;nc com nc 
mississippi_state_university::: ;NN nc org 
mississippi_valley_state_university::: ;NN nc org 
missouri_southern_state_college::: ;NN nc org 
missouri_tech_college_of_engineering::: ;NN nc org 
missouri_western_state_college::: ;NN nc org 
mitac_technology::: NNP NE;nc com nc 
mitchell_&_savage_maple_farm::: NNP NE;nc com nc 
mitral_valve_commissurotomy::: N nc;treatment 
mitral_valve_repair::: N nc;treatment 
mitral_valve_replacement::: N nc;treatment 
mitsubishi_yowakai_foundation::: NNP NE;nc com nc 
mitsui_chemicals::: NNP NE;nc com nc 
mittal_electronics::: NNP NE;nc com nc 
mix_together::: VB vc;VNPPP vt 
mix_up::: VB vc;VNPPP vt 
mizusawa_industrial_chemicals::: NNP NE;nc com nc 
mkk_europe::: NNP NE;nc com nc 
mobile_info_and_communication_system::: N nc;tech 
mobile_power_solutions::: NNP NE;nc com nc 
mobility_electronics::: NNP NE;nc com nc 
model_n::: NNP NE;nc com nc 
modern_chemical::: NNP NE;nc com nc 
modesto_junior_college::: ;NN nc org 
modi_auxiliaries_and_chemicals::: NNP NE;nc com nc 
modified_radical_mastectomy::: NN nc;treatment 
mohr_davidow_ventures::: NNP NE;nc com nc 
momentum_advanced_solutions::: NNP NE;nc com nc 
monoamine_oxidase_inhibition::: N nc;treatment 
monoamine_oxidase_inhibitor::: N nc;prod 
monro_muffler_brake::: NNP NE;nc com nc 
montana_state_university::: ;NN nc org 
montana_state_university_-billings::: ;NN nc org 
montana_state_university_-billings_college_of_technology::: ;NN nc org 
montana_state_university_-bozeman::: ;NN nc org 
montana_state_university_-northern::: ;NN nc org 
montclair_state_university::: ;NN nc org 
monte_carlo_algorithm::: N nc;tech 
monte_carlo_method::: N nc;tech 
monterey_institute_of_international_studies::: ;NN nc org 
moody_bible_institute::: ;NN nc org 
moore_college_of_technology::: ;NN nc org 
moorhead_state_university::: ;NN nc org 
mop_off::: VB vc;VNPPP vt 
moraine_park_technical_college::: ;NN nc org 
morehead_state_university::: ;NN nc org 
morgan_state_university::: ;NN nc org 
morrison_institute_of_technology::: ;NN nc org 
mortise_&_tenon_joint::: N nc;tech 
mosaid_technologies::: NNP NE;nc com nc 
mosquito_&_tick::: N nc;nt 
mosquito_and_tick::: N nc;nt 
most_valuable_player::: NN nc;per 
mother_in_law::: NN nc;relatives 
motlow_state_community_college::: ;NN nc org 
motor_torpedo_boat::: N nc;tool 
mount_holyoke_college::: ;NN nc org 
mount_up::: VB vc;VPP vt 
mount_vernon_nazarene_college::: ;NN nc org 
move_across::: VB vc;vt 
move_away::: VB vc;vt 
move_back::: VB vc;VPP 
move_in::: VB vc;vt 
move_it_outside::: N nc;prod0 
move_out::: VB vc;vt 
move_over::: VB vc;vt 
mover_and_shaker::: NN nc;per 
mow_over::: VB vc;vt 
mrc_home_products::: NNP NE;nc com nc 
mst_insurance::: NNP NE;nc com nc 
mti_college_of_business_and_technology::: ;NN nc org 
mti_technology::: NNP NE;nc com nc 
mtm_technologies::: NNP NE;nc com nc 
mts_medication_technologies::: NNP NE;nc com nc 
muck_out::: VB vc;vt 
muck_up::: VB vc;vt 
muddle_together::: VB vc;VI 
mugen_motorsports::: NNP NE;nc com nc 
mulch_over::: VB vc;vt 
mull_over::: VB vc;vt 
multimodality_cancer_therapy::: N nc;treatment 
multiple_cycle_treatment::: N nc;treatment 
multiple_drug_dose::: N nc;treatment 
multiply_out::: VB vc;vt 
multnomah_bible_college_and_biblical_seminary::: ;NN nc org 
munch_down::: VB vc;VPP 
munich_reinsurance::: NNP NE;nc com nc 
murray_state_college::: ;NN nc org 
murray_state_university::: ;NN nc org 
music_corporation_of_america::: NNP NE;nc com nc 
muss_up::: VB vc;vt 
muster_up::: VB vc;vt 
mutual_savings_bank::: N nc;com 
my_first_class::: N nc; 
my_fucking_boyfriend::: N nc;good 
my_fucking_girlfriend::: N nc;good 
my_shit_list::: N nc;troubleW 
myelodysplastic_syndrome_cellular_diagnosis::: N nc;treatment 
mylan_laboratories::: NNP NE;nc com nc 
nagano_tomato::: NNP NE;nc com nc 
nai_global::: NNP NE;nc com nc 
nail_up::: VB vc;vt 
nam_tai_electronics::: NNP NE;nc com nc 
namtai_industrial_chemicals::: NNP NE;nc com nc 
nanjing_chemical_fiber::: NNP NE;nc com nc 
nanjing_source_chemical::: NNP NE;nc com nc 
nanophase_technologies::: NNP NE;nc com nc 
nantong_shizhuang_chemical::: NNP NE;nc com nc 
nanya_technology::: NNP NE;nc com nc 
napier_environmental_technologies::: NNP NE;nc com nc 
narrow_down::: VB vc;VNPPP VPP vt 
nasopharyngeal_cancer_cellular_diagnosis::: N nc;treatment 
nasopharynx_cancer_cellular_diagnosis::: N nc;treatment 
national-louis_university::: ;NN nc org 
national_aeronautics_and_space_administration::: ;NN nc org 
national_archives_and_records_administration::: ;NN nc org 
national_autonomous_university_of_mexico::: ;NN nc org 
national_bioethics_advisory_commission::: ;NN nc org 
national_capital_planning_commission::: ;NN nc org 
national_chemical_laboratories::: NNP NE;nc com nc 
national_chemicals::: NNP NE;nc com nc 
national_climatic_data_center::: ;NN nc org 
national_commission_on_libraries_and_information_science::: ;NN nc org 
national_credit_union_administration::: ;NN nc org 
national_endowment_for_the_humanities::: ;NN nc org 
national_highway_traffic_safety_administration::: ;NN nc org 
national_hygiene_chemical::: NNP NE;nc com nc 
national_industrial_chemicals::: NNP NE;nc com nc 
national_institute_of_standards_and_technology::: ;NN nc org 
national_labor_relations_board::: ;NN nc org 
national_material::: NNP NE;nc com nc 
national_mediations_board::: ;NN nc org 
national_oceanic_and_atmospheric_administration::: ;NN nc org 
national_renewable_energy_laboratory::: ;NN nc org 
national_security_agency::: ;NN nc org 
national_starch_&_chemical::: NNP NE;nc com nc 
national_technical_information_service::: ;NN nc org 
national_transportation_safety_board::: ;NN nc org 
nationwide_mutual::: NNP NE;nc com nc 
natural_beauty_bio-technology::: NNP NE;nc com nc 
natural_language_processor::: NN nc;tool 
nautical_linear_unit::: NN nc unit; 
naval_air_warfare_center_weapons_division::: ;NN nc org 
naval_surface_warfare_center::: ;NN nc org 
naval_tactical_data_system::: N nc;prod tool 
naval_underwater_warfare_center::: ;NN nc org 
navcom_defense_electronics::: NNP NE;nc com nc 
ncircle_network_security::: NNP NE;nc com nc 
ndb_technologie::: NNP NE;nc com nc 
ndd_medical_technologies::: NNP NE;nc com nc 
near_zero_emission::: A ac;pt 
near_zero_emissions::: A ac;pt 
nebraska_wesleyan_university::: ;NN nc org 
nec_electronics::: NNP NE;nc com nc 
neck_down::: VB vc;vt 
neck_of_the_woods::: NN nc; 
negative_feedback_circuit::: N nc;tool 
negative_magnetic_pole::: N nc; 
negative_pi_meson_therapy::: N nc;treatment 
negative_pressure_ventilation::: N nc;treatment 
neither_of_them::: ;PRP neg per 
neither_of_us::: nc;PRP neg per plu 
neither_of_you::: nc;PRP neg per 
neo_material_technologies::: NNP NE;nc com nc 
neonatal_intensive_care_unit::: NN nc;orgHN 
neose_technologies::: NNP NE;nc com nc 
neosino_nanotechnologies::: NNP NE;nc com nc 
nephroblastoma_cellular_diagnosis::: N nc;treatment 
nerve_cell_stimulation::: N nc;treatment 
net_1_u.e.p.s._technologies::: NNP NE;nc com nc 
netbase_solutions::: NNP NE;nc com nc 
netherlands_airport_consultants::: NNP NE;nc com nc 
netsmart_technologies::: NNP NE;nc com nc 
netsol_technologies::: NNP NE;nc com nc 
network_equip_technologies::: NNP NE;nc com nc 
neurobiological_technologies::: NNP NE;nc com nc 
neurovascular_island_flap::: N nc;treatment 
neutral_insulin_injection::: N deverbal nc;treatment 
neutron_capture_therapy::: N nc;treatment 
nevada_chemicals::: NNP NE;nc com nc 
nevada_state_college_-henderson::: ;NN nc org 
new_duling_chemical_fiber::: NNP NE;nc com nc 
new_era_electronics::: NNP NE;nc com nc 
new_mexico_highlands_university::: ;NN nc org 
new_mexico_junior_college::: ;NN nc org 
new_mexico_state_university::: ;NN nc org 
new_orleans_baptist_theological_seminary::: ;NN nc org 
new_stone_age::: N nc;timeUnit 
new_york_university::: ;NN nc org 
newborn_intensive_care::: N nc;treatment 
newcastle_united_f.c.::: NNP NE;nc com nc 
news_corporation::: NNP NE;nc com nc 
next_of_kin::: NN nc;per 
nfl_films::: NNP NE;nc com nc 
nicholls_state_university::: ;NN nc org 
nicolet_area_technical_college::: ;NN nc org 
nicotine_replacement_therapy::: N nc;treatment 
nidec_copal_electronics::: NNP NE;nc com nc 
nielsen_netratings::: NNP NE;nc com nc 
niggle_down::: VB vc;VNPPP vt 
nihon_inter_electronics::: NNP NE;nc com nc 
nihon_keizai_shimbun::: NNP NE;nc com nc 
nip_off::: VB vc;vt 
nippon_care_supply::: NNP NE;nc com nc 
nippon_chemical_industrial::: NNP NE;nc com nc 
nippon_fine_chemical::: NNP NE;nc com nc 
nippon_kasei_chemical::: NNP NE;nc com nc 
nippon_oil::: NNP NE;nc com nc 
nippon_polypenco::: NNP NE;nc com nc 
nippon_steel_chemical::: NNP NE;nc com nc 
nippon_synthetic_chemical_industry::: NNP NE;nc com nc 
nippon_television::: NNP NE;nc com nc 
nippon_yusen_kabushiki_kaisha::: NNP NE;nc com nc 
nissan_chemical::: NNP NE;nc com nc 
nissho_electronics::: NNP NE;nc com nc 
no._1_hit::: N nc;pt 
no_call_list::: N nc;troubleW 
no_man's_land::: NN nc; 
no_one_else::: NN nc;neg per proNN 
no_or_little::: DT;pureDT 
no_or_mild::: DT;pureDT 
no_respect_or_remorse::: N nc;pt 
nom_de_plume::: NN nc;count name 
non-dedicated_file_server::: NN nc;tool 
non_customer_focused::: A ac;troubleW 
non_stop_service::: N nc;pt 
nondepository_financial_institution::: NN nc;com 
none_of_them::: nc;PRP neg per 
none_of_us::: nc;PRP neg per plu 
none_of_you::: ;PRP neg per 
noninvasive_medical_procedure::: N nc;treatment 
nonsmall_cell_lung_cancer_cellular_diagnosis::: N nc;treatment 
nonsteroidal_antiinflammatory_agent::: N nc;prod 
nonsteroidal_antiinflammatory_drug::: N nc;prod 
nonsurgical_invasive_therapy::: N nc;treatment 
nonviral_gene_therapy::: N nc;treatment 
norcom_information_technology::: NNP NE;nc com nc 
norfolk_state_university::: ;NN nc org 
norit_membrane_technology::: NNP NE;nc com nc 
north_adams_state_college::: ;NN nc org 
north_carolina_a&t_university::: ;NN nc org 
north_carolina_state_university::: ;NN nc org 
north_carolina_wesleyan_university::: ;NN nc org 
north_celestial_pole::: NN nc; 
north_dakota_state_university::: ;NN nc org 
north_frigid_zone::: N nc;component 
north_korean_won::: N nc unit; 
north_seeking_pole::: NN nc; 
north_temperate_zone::: N nc;component 
northcentral_technical_college::: ;NN nc org 
northcore_technologies::: NNP NE;nc com nc 
northeast_state_technical_community_college::: ;NN nc org 
northeast_wisconsin_technical_college::: ;NN nc org 
northeastern_technologies_group::: NNP NE;nc com nc 
northern_maine_technical_college::: ;NN nc org 
northern_technologies_international::: NNP NE;nc com nc 
northgate_information_solutions::: NNP NE;nc com nc 
northland_baptist_bible_college::: ;NN nc org 
northland_pioneer_college::: ;NN nc org 
northrop_grumman::: NNP NE;nc com nc 
northwest-shoals_community_college::: ;NN nc org 
northwest_missouri_state_university::: ;NN nc org 
northwest_nazarene_college::: ;NN nc org 
northwest_technical_college_-bemidji::: ;NN nc org 
northwest_technical_college_-detroit_lakes::: ;NN nc org 
northwest_technical_college_-east_grand_forks::: ;NN nc org 
northwest_technical_college_-moorhead::: ;NN nc org 
northwest_technical_college_-wadena::: ;NN nc org 
northwestern_oklahoma_state_university::: ;NN nc org 
northwestern_polytechnic_university::: ;NN nc org 
northwestern_university::: ;NN nc org 
nose_aside::: VB vc;vt 
nose_open::: VB vc;vt 
nose_septum_reconstruction::: N nc;treatment 
not_at_all::: ;RB advX expression 
not_my_cup_of_tea::: A AP ac;bad curse finite 
not_too_long_ago::: ;RB time 
note_down::: VB vc;vt 
notre_dame_college::: ;NN nc org 
notre_dame_de_namur_university::: ;NN nc org 
nova_chemicals::: NNP NE;nc com nc 
nova_nutraceutical_technology::: NNP NE;nc com nc 
nova_southeastern_university::: ;NN nc org 
novadaq_technologies::: NNP NE;nc com nc 
novatek_microelectronics::: NNP NE;nc com nc 
ns_solutions::: NNP NE;nc com nc 
ntt_mobile_communications_network::: NNP NE;nc com nc 
nu_horizons_electronics::: NNP NE;nc com nc 
nuclear_blast::: NNP NE;nc com nc 
nuclear_powered_ship::: N nc;tool 
nuclear_powered_submarine::: N nc;tool 
nucleoside_reverse_transcriptase_inhibitor::: N nc;prod 
nufarm_agriculture::: NNP NE;nc com nc 
nutrient_content_determination::: N nc;tech 
o'more_college_of_design::: ;NN nc org 
o_hell_no::: A;UH curse 
oak_hills_christian_college::: ;NN nc org 
oakland_athletics::: NNP NE;nc com nc 
oakriver_technology::: NNP NE;nc com nc 
oberlin_college::: ;NN nc org 
object_oriented_database_management_system::: N nc;tool 
occidental_chemical::: NNP NE;nc com nc 
occupational_safety_and_health_administration::: ;NN nc org 
ocean_power_technologies::: NNP NE;nc com nc 
ocimum_biosolutions::: NNP NE;nc com nc 
odd_man_out::: NN nc;per 
of_extraordinary_splendour::: N nc;idiomPP up 
of_gigantic_stature::: N nc;idiomPP up 
of_good_upbringing::: N nc;idiomPP up 
of_great_help::: N nc;idiomPP up 
of_great_importance::: N nc;idiomPP up 
of_great_interest::: N nc;idiomPP up 
of_great_renown::: N nc;idiomPP up 
of_great_renown_and_influence::: N nc;idiomPP up 
of_great_service::: N nc;idiomPP up 
of_high_popularity::: N nc;idiomPP up 
of_high_position::: N nc;idiomPP up 
of_high_rank::: N nc;idiomPP up 
of_high_repute::: N nc;idiomPP up 
of_lofty_posture::: N nc;idiomPP up 
of_lofty_stance::: N nc;idiomPP up 
of_much_wisdom::: N nc;idiomPP up 
of_noble_spirit::: N nc;idiomPP up 
of_splendid_prospects::: N nc;idiomPP up 
of_standard_purity::: N nc;idiomPP up 
of_striking_appearance::: N nc;idiomPP up 
of_superior_grade::: N nc;idiomPP up 
of_the_best_quality::: N nc;idiomPP up 
of_very_high_level::: N nc;idiomPP up 
of_vital_importance::: N nc;idiomPP up 
of_well-deserved_reputation::: N nc;idiomPP up 
off_and_running::: A;RB idiomPP 
off_label_drug_use::: N nc;treatment 
off_pump_coronary_surgery::: N nc;treatment 
off_pump_surgery::: N nc;treatment 
off_the_handle::: ;RB idiomPP 
off_the_hook::: A ac;idiomPP 
off_the_mark::: A ac;idiomPP 
off_the_rack::: A ac;idiomPP 
off_the_record::: A ac;idiomPP 
off_the_register::: A ac;idiomPP 
off_the_scale::: A ac;idiomPP 
off_the_wall::: A ac;idiomPP 
off_to_a_flying_start::: A ac;idiomPP 
office_of_inspector_general::: ;NN nc org 
office_of_naval_intelligence::: ;NN nc org 
ohb_technology::: NNP NE;nc com nc 
ohio_dominican_university::: ;NN nc org 
ohio_state_university::: ;NN nc org 
ohio_state_university_-columbus::: ;NN nc org 
ohio_state_university_-lima::: ;NN nc org 
ohio_state_university_-mansfield::: ;NN nc org 
ohio_state_university_-marion::: ;NN nc org 
ohio_technical_college::: ;NN nc org 
ohio_wesleyan_university::: ;NN nc org 
oil_sand_refining::: N nc;tech 
oil_shale_refining::: N nc;tech 
oil_up::: VB vc;vt 
ojeong_chemical_industrial::: NNP NE;nc com nc 
oklahoma_panhandle_state_university::: ;NN nc org 
oklahoma_state_university::: ;NN nc org 
oklahoma_state_university_-okmulgee::: ;NN nc org 
old_dominion_university::: ;NN nc org 
old_school_tie::: NN nc;tool 
